,Cad_GDP,CPI_Total,Overnight_Rate
1995-01-01,6.0742,1.533333333,7.720266667
1995-04-01,6.07437,2.7,7.6486
1995-07-01,6.07494,2.333333333,6.368566667
1995-10-01,6.07672,2.033333333,5.9524
1996-01-01,6.07702,1.466666667,5.207133333
1996-04-01,6.08003,1.466666667,4.7476
1996-07-01,6.08377,1.433333333,4.197633333
1996-10-01,6.08725,1.966666667,3.144266667
1997-01-01,6.09294,2.133333333,2.981933333
1997-04-01,6.09782,1.633333333,2.986166667
1997-07-01,6.10293,1.733333333,3.248566667
1997-10-01,6.10712,1.066666667,3.809533333
1998-01-01,6.11321,1.033333333,4.559533333
1998-04-01,6.11344,1,4.734766667
1998-07-01,6.11737,0.866666667,5.072366667
1998-10-01,6.12324,1.1,5.099066667
1999-01-01,6.13105,0.8,4.9938
1999-04-01,6.13467,1.566666667,4.655233333
1999-07-01,6.14141,2.2,4.6043
1999-10-01,6.14748,2.366666667,4.7119
2000-01-01,6.15437,2.633333333,4.996666667
2000-04-01,6.1595,2.466666667,5.587166667
2000-07-01,6.1639,2.733333333,5.740466667
2000-10-01,6.16464,3.066666667,5.767133333
2001-01-01,6.16693,2.766666667,5.3247
2001-04-01,6.1681,3.6,4.6359
2001-07-01,6.16781,2.7,3.965033333
2001-10-01,6.17045,1.066666667,2.527033333
2002-01-01,6.17685,1.533333333,1.992733333
2002-04-01,6.1794,1.333333333,2.329166667
2002-07-01,6.18314,2.3,2.743766667
2002-10-01,6.18552,3.8,2.743966667
2003-01-01,6.18791,4.466666667,2.8276
2003-04-01,6.18727,2.766666667,3.241266667
2003-07-01,6.18889,2.1,2.913633333
2003-10-01,6.19188,1.766666667,2.748466667
2004-01-01,6.195,0.933333333,2.412866667
2004-04-01,6.20012,2.2,1.9983
2004-07-01,6.20522,1.966666667,2.0816
2004-10-01,6.20833,2.266666667,2.497866667
2005-01-01,6.20983,2.1,2.4915
2005-04-01,6.21297,1.9,2.491866667
2005-07-01,6.2182,2.6,2.574166667
2005-10-01,6.22247,2.233333333,3.0731
2006-01-01,6.22598,2.4,3.499833333
2006-04-01,6.2262,2.533333333,4.0921
2006-07-01,6.22742,1.7,4.244466667
2006-10-01,6.22914,1.366666667,4.2431
2007-01-01,6.23191,1.8,4.2461
2007-04-01,6.2361,2.2,4.2453
2007-07-01,6.23792,2.133333333,4.461166667
2007-10-01,6.23841,2.433333333,4.426266667
2008-01-01,6.23874,1.8,3.8213
2008-04-01,6.24031,2.333333333,3.0067
2008-07-01,6.24386,3.433333333,3.0034
2008-10-01,6.23879,1.933333333,1.999566667
2009-01-01,6.22887,1.233333333,0.830166667
2009-04-01,6.2241,0.066666667,0.244133333
2009-07-01,6.22605,-0.866666667,0.241966667
2009-10-01,6.23109,0.8,0.2431
2010-01-01,6.2363,1.633333333,0.245366667
2010-04-01,6.23856,1.4,0.328166667
2010-07-01,6.24163,1.8,0.828566667
2010-10-01,6.24646,2.266666667,0.996333333
2011-01-01,6.24972,2.6,0.993833333
2011-04-01,6.25057,3.366666667,0.997266667
2011-07-01,6.25652,3,0.9984
2011-10-01,6.25993,2.7,0.999133333
2012-01-01,6.2602,2.333333333,0.998166667
2012-04-01,6.26162,1.566666667,1.0021
2012-07-01,6.26221,1.233333333,0.9985
2012-10-01,6.26311,0.933333333,0.9997
2013-01-01,6.26699,0.9,1.006166667
2013-04-01,6.2695,0.766666667,1.005533333
2013-07-01,6.27302,1.166666667,0.997466667
2013-10-01,6.27756,0.933333333,1.0001
2014-01-01,6.27827,1.366666667,0.997266667
2014-04-01,6.28222,2.233333333,0.998133333
2014-07-01,6.28637,2.066666667,0.998166667
2014-10-01,6.28936,1.966666667,1.0046
2015-01-01,6.28697,1.066666667,0.755166667
2015-04-01,6.28578,0.9,0.740233333
2015-07-01,6.28732,1.2,0.501566667
2015-10-01,6.28764,1.333333333,0.506666667
2016-01-01,6.29002,1.566666667,0.504166667
2016-04-01,6.28788,1.566666667,0.500466667
2016-07-01,6.29233,1.233333333,0.4991
2016-10-01,6.29476,1.4,0.4904
2017-01-01,6.29974,1.9,0.4925
2017-04-01,6.30483,1.3,0.492666667
2017-07-01,6.30637,1.4,0.8276
2017-10-01,6.30826,1.8,0.9947
2018-01-01,6.31061,2.066666667,1.242833333
2018-04-01,6.31231,2.3,1.2453
2018-07-01,6.31494,2.666666667,1.496266667
2018-10-01,6.316,2.033333333,1.748833333
2019-01-01,6.31724,1.6,1.745933333
2019-04-01,6.32071,2.133333333,1.7446
2019-07-01,6.32192,1.933333333,1.7468
2019-10-01,6.32253,2.1,1.747933333
2020-01-01,6.31327,1.833333333,1.4126
2020-04-01,,-0.3,0.236
